genre,mode
stl indie,0.816326530612
deep happy hardcore,0.416666666667
hard glam,0.571428571429
blues-rock guitar,0.617021276596
mantra,0.739130434783
british dance band,0.711111111111
guitar case,0.938775510204
african percussion,0.625
dallas indie,0.744680851064
geek folk,0.48
carnatic,0.760869565217
deep darkpsy,0.533333333333
triangle indie,0.92
cumbia funk,0.6875
thrash-groove metal,0.54347826087
outer hip hop,0.54347826087
throat singing,0.708333333333
swedish pop punk,0.666666666667
sinhala,0.702127659574
dark minimal techno,0.622222222222
chinese traditional,0.52
deep deep house,0.478260869565
italian punk,0.545454545455
unblack metal,0.659574468085
deep vocal jazz,0.659574468085
cornetas y tambores,0.521739130435
jug band,0.854166666667
indie pop rock,0.571428571429
power noise,0.521739130435
capoeira,0.723404255319
commons,0.531914893617
post-disco soul,0.416666666667
halloween,0.5
contemporary folk,0.938775510204
finnish jazz,0.522727272727
chinese indie rock,0.808510638298
byzantine,0.65306122449
zim,0.695652173913
black sludge,0.714285714286
vintage jazz,0.836734693878
dubsteppe,0.276595744681
deep psytrance,0.551020408163
street punk,0.673913043478
breaks,0.68085106383
drama,0.791666666667
abstractro,0.714285714286
deep new wave,0.75
gospel blues,0.770833333333
light music,0.702127659574
deep southern soul,0.714285714286
deep indie rock,0.69387755102
mexican traditional,0.979591836735
gothic post-punk,0.571428571429
cajun,0.86
northern irish indie,0.63829787234
british brass band,0.723404255319
deep indie singer-songwriter,0.804347826087
noise punk,0.708333333333
traditional funk,0.617021276596
polish jazz,0.541666666667
baroque ensemble,0.56
deep ragga,0.847826086957
demoscene,0.652173913043
japanese traditional,0.46
deep downtempo fusion,0.5625
heavy gothic rock,0.479166666667
bangla,0.723404255319
covertrance,0.477272727273
deep vocal house,0.6
deep freestyle,0.416666666667
classical organ,0.659574468085
deep full on,0.568181818182
makina,0.63829787234
c64,0.75
spytrack,0.571428571429
classical flute,0.571428571429
musique concrete,0.787234042553
grim death metal,0.760869565217
polka,0.918367346939
slash punk,0.666666666667
muziek voor kinderen,0.692307692308
deep jazz fusion,0.586956521739
classic eurovision,0.58
chamber choir,0.791666666667
skiffle,0.808510638298
poetry,0.541666666667
deep funk house,0.531914893617
fallen angel,0.395833333333
electroacoustic improvisation,0.767441860465
steelpan,0.92
belorush,0.382978723404
fussball,0.877551020408
oratory,0.553191489362
deep east coast hip hop,0.571428571429
grisly death metal,0.530612244898
traditional reggae,0.558139534884
spanish indie rock,0.666666666667
sunset lounge,0.418604651163
early music ensemble,0.45652173913
contemporary classical,0.591836734694
lowercase,0.644444444444
punk ska,0.68
deep progressive house,0.422222222222
indian rock,0.708333333333
clarinet,0.631578947368
deep jazz piano,0.617021276596
deep melodic death metal,0.7
hardcore breaks,0.5
skinhead oi,0.891304347826
vintage swing,0.630434782609
hatecore,0.636363636364
glitch beats,0.444444444444
villancicos,0.888888888889
deep classic garage rock,0.617021276596
deep indie pop,0.787234042553
neo soul-jazz,0.531914893617
deep pop emo,0.866666666667
traditional rockabilly,0.808510638298
deep nordic folk,0.645833333333
klapa,0.977777777778
deep swedish rock,0.836734693878
crossover prog,0.488888888889
football,0.791666666667
organic ambient,0.489361702128
soda pop,0.816326530612
deep chill-out,0.673913043478
deep hardcore,0.565217391304
deep filthstep,0.590909090909
wrock,0.734693877551
norwegian punk,0.5625
deep northern soul,0.744680851064
experimental dubstep,0.413043478261
deep free jazz,0.8
raw black metal,0.54
thai indie,0.777777777778
classic psychedelic rock,0.702127659574
gamelan,0.69387755102
deep surf music,0.510638297872
dubstep product,0.659574468085
goa trance,0.522727272727
deep italo disco,0.422222222222
deep thrash metal,0.729166666667
deep g funk,0.586956521739
accordeon,0.448979591837
charred death,0.613636363636
ambient dub techno,0.446808510638
slovenian rock,0.68085106383
maghreb,0.595744680851
re:techno,0.555555555556
malagasy folk,0.804347826087
hard stoner rock,0.695652173913
dark progressive house,0.533333333333
zeuhl,0.666666666667
neo honky tonk,0.816326530612
tanzlmusi,1.0
deep dub techno,0.608695652174
j-punk,0.816326530612
noise,0.488888888889
chill groove,0.439024390244
tibetan,0.666666666667
deep punk rock,0.704545454545
deep power-pop punk,0.8125
j-poppunk,0.818181818182
italo beats,0.55
deep space rock,0.68085106383
deep motown,0.770833333333
kc indie,0.52
new jack smooth,0.354166666667
deep nz indie,0.63829787234
alternative metalcore,0.695652173913
chinese opera,0.644444444444
vintage rockabilly,0.82
deep eurodance,0.65306122449
deep cello,0.591836734694
chill-out trance,0.395833333333
german street punk,0.695652173913
terrorcore,0.615384615385
doomcore,0.521739130435
twin cities indie,0.8125
french folk,0.755102040816
glitter trance,0.395833333333
nu electro,0.666666666667
indie emo rock,0.80487804878
deep classical piano,0.5625
ceilidh,0.9375
alternative hardcore,0.744186046512
jangle rock,0.666666666667
skweee,0.630434782609
bulgarian folk,0.541666666667
deep neo-synthpop,0.586956521739
rhythm and boogie,0.895833333333
swedish jazz orkester,0.632653061224
deep hardcore punk,0.581395348837
chinese experimental,0.652173913043
jazz composition,0.560975609756
modern downshift,0.666666666667
ethereal gothic,0.478260869565
ghoststep,0.472222222222
anime cv,0.54
modern free jazz,0.695652173913
vintage schlager,0.934782608696
song poem,0.877551020408
neo-traditional country,0.913043478261
deep orgcore,0.777777777778
cryptic black metal,0.825
cinematic dubstep,0.461538461538
vintage country folk,0.795918367347
vintage gospel,0.659574468085
gothic doom,0.630434782609
deep symphonic black metal,0.489795918367
vintage reggae,0.714285714286
deep german jazz,0.591836734694
twee indie pop,0.653846153846
saxophone,0.756097560976
dark electro-industrial,0.94
deep delta blues,0.734693877551
caucasian folk,0.604166666667
chip hop,0.520833333333
deep breakcore,0.695652173913
deep deep tech house,0.628571428571
deep string quartet,0.68
necrogrind,0.533333333333
central asian folk,0.574468085106
drone psych,0.742857142857
vintage swoon,0.775510204082
rock noise,0.54
smooth urban r&b,0.46511627907
deep latin jazz,0.589743589744
vintage western,0.833333333333
